condition,wandb_id,mode,dataset,behaviour,coarse,alive_steps,alive_s,reward_per_step,n_terminations,hazard_per_s,rtps_root_pos,rtps_root_quat,rtps_joints,rtps_joints_vel,rtps_bodies_pos,rtps_end_eff,rtps_torso_z_range,rtps_control_cost,rtps_control_diff_cost,rtps_energy_cost,err_root_pos_m,err_root_angular_deg,err_joint_l2,err_joint_vel_l2,err_body_total_m,err_body_end_eff_m
pos_noproprio_eff2,rfoe9wu2,position,new_eval,AmbleGroom,groom,318,3.18,4.025079,0,0.0,0.969543,0.965047,0.641308,0.0,0.0,0.602406,1.0,-0.125288,-0.012038,-0.0159,0.007763,4.295897,1.32602,24.512541,0.059085,0.033239
pos_noproprio_eff2,rfoe9wu2,position,new_eval,FaceGroom,groom,639,6.39,3.918498,1,0.156495,0.938139,0.950926,0.623795,0.0,0.0,0.546497,1.0,-0.120283,-0.010278,-0.010298,0.010498,4.569648,1.36218,15.399058,0.070094,0.041405
pos_noproprio_eff2,rfoe9wu2,position,new_eval,ProneSlow,still,5861,58.61,4.077102,2,0.034124,0.960785,0.969963,0.643782,0.0,0.0,0.643269,0.998806,-0.12248,-0.009064,-0.007959,0.007928,3.618881,1.323907,9.530624,0.058052,0.033164
pos_noproprio_eff2,rfoe9wu2,position,new_eval,ProneSniff,still,16715,167.15,4.039992,1,0.005983,0.951816,0.962675,0.635778,0.0,0.0,0.625771,0.999641,-0.119482,-0.009061,-0.007146,0.008697,4.029151,1.340977,8.835152,0.060818,0.03503
pos_noproprio_eff2,rfoe9wu2,position,new_eval,ProneStill,still,2758,27.58,3.890544,1,0.036258,0.899297,0.923407,0.62868,0.0,0.0,0.569139,1.0,-0.118262,-0.007188,-0.004528,0.011605,5.489745,1.357589,6.834903,0.076886,0.046394
pos_noproprio_eff2,rfoe9wu2,position,new_eval,RearDown,rear,581,5.81,3.185949,0,0.0,0.719342,0.823465,0.479564,0.0,0.0,0.317365,1.0,-0.11575,-0.01549,-0.022547,0.027498,10.526768,1.793758,29.727827,0.168157,0.087864
pos_noproprio_eff2,rfoe9wu2,position,new_eval,RearHigh,rear,3254,32.54,3.202762,3,0.092194,0.732924,0.863714,0.480759,0.0,0.0,0.287189,0.990166,-0.129457,-0.009398,-0.013135,0.027192,9.013151,1.790647,17.166605,0.167517,0.090055
pos_noproprio_eff2,rfoe9wu2,position,new_eval,RearLow,rear,539,5.39,3.029538,0,0.0,0.718718,0.841956,0.395223,0.0,0.0,0.20587,1.0,-0.111305,-0.009587,-0.011337,0.027304,9.792304,1.94143,8.831098,0.179331,0.100621
pos_noproprio_eff2,rfoe9wu2,position,new_eval,RearMid,rear,2053,20.53,3.290024,4,0.194837,0.768538,0.842899,0.468328,0.0,0.0,0.355499,1.0,-0.117947,-0.011425,-0.015867,0.023616,9.719351,1.750521,16.588795,0.151875,0.083634
pos_noproprio_eff2,rfoe9wu2,position,new_eval,RearSniff,rear,127,1.27,1.986441,1,0.787402,0.33852,0.432391,0.370719,0.0,0.0,0.026319,1.0,-0.117537,-0.01983,-0.044141,0.055535,27.663561,2.033006,17.368769,0.363965,0.198834
pos_noproprio_eff2,rfoe9wu2,position,new_eval,Walk,locomote,8651,86.51,3.942621,4,0.046237,0.942791,0.956102,0.641548,0.0,0.0,0.570856,0.997804,-0.128547,-0.015979,-0.021952,0.010338,4.369321,1.327907,26.543472,0.070968,0.038858
pos_noproprio_eff2,rfoe9wu2,position,new_eval,WalkFast,locomote,1692,16.92,3.877163,2,0.118203,0.919703,0.965252,0.616292,0.0,0.0,0.573653,0.997045,-0.135738,-0.022189,-0.036856,0.012969,4.020324,1.384074,40.825764,0.073309,0.038606
torque_delay10,h2l057w2,torque,new_eval,Amble,locomote,11808,118.08,4.106796,2,0.016938,0.95407,0.952247,0.599194,0.0,0.0,0.643021,0.999068,-0.020386,-0.011331,-0.009087,0.009529,4.788992,1.42046,15.273015,0.064636,0.033065
torque_delay10,h2l057w2,torque,new_eval,AmbleGroom,groom,292,2.92,4.048368,0,0.0,0.957952,0.919209,0.623102,0.0,0.0,0.592688,1.0,-0.022221,-0.011617,-0.010746,0.009115,6.437087,1.351164,24.749285,0.071173,0.036445
torque_delay10,h2l057w2,torque,new_eval,FaceGroom,groom,579,5.79,4.090875,0,0.0,0.956693,0.947226,0.613027,0.0,0.0,0.608617,1.0,-0.016964,-0.010419,-0.007305,0.009715,4.868546,1.378303,14.657435,0.070629,0.037501
torque_delay10,h2l057w2,torque,new_eval,ProneSlow,still,7273,72.73,4.175367,1,0.013749,0.961475,0.963132,0.610114,0.0,0.0,0.71195,0.961226,-0.01785,-0.009266,-0.005415,0.008678,4.421623,1.394146,7.989782,0.054356,0.028256
torque_delay10,h2l057w2,torque,new_eval,ProneSniff,still,19752,197.52,3.984818,3,0.015188,0.911233,0.939921,0.577991,0.0,0.0,0.606254,0.979597,-0.014878,-0.009363,-0.005937,0.012744,5.246873,1.480972,7.670426,0.078677,0.042817
torque_delay10,h2l057w2,torque,new_eval,ProneStill,still,4226,42.26,3.949334,0,0.0,0.965321,0.962936,0.593312,0.0,0.0,0.683941,0.774018,-0.016982,-0.008798,-0.004414,0.008263,4.470407,1.434857,5.588443,0.054628,0.030315
torque_delay10,h2l057w2,torque,new_eval,RearDown,rear,402,4.02,3.23952,0,0.0,0.760609,0.802249,0.431791,0.0,0.0,0.299307,1.0,-0.024495,-0.015287,-0.014654,0.024816,12.151661,1.850032,28.61261,0.147128,0.072444
torque_delay10,h2l057w2,torque,new_eval,RearHigh,rear,2886,28.86,3.179697,9,0.31185,0.721875,0.842821,0.398375,0.0,0.0,0.272382,0.994456,-0.022456,-0.013633,-0.014123,0.028202,10.537467,1.99641,16.481262,0.176452,0.092125
torque_delay10,h2l057w2,torque,new_eval,RearLow,rear,551,5.51,2.383203,0,0.0,0.440958,0.501818,0.348451,0.0,0.0,0.132956,1.0,-0.016811,-0.012609,-0.011562,0.051167,27.798841,2.057656,9.142076,0.30347,0.153729
torque_delay10,h2l057w2,torque,new_eval,RearMid,rear,2415,24.15,3.051906,1,0.041408,0.684645,0.709571,0.422368,0.0,0.0,0.290609,0.989234,-0.018778,-0.013677,-0.012066,0.031297,17.026731,1.864654,15.975461,0.198973,0.102532
torque_delay10,h2l057w2,torque,new_eval,RearSniff,rear,148,1.48,3.551566,1,0.675676,0.908353,0.948148,0.406828,0.0,0.0,0.320354,1.0,-0.017728,-0.009365,-0.005024,0.015236,5.694436,1.880056,8.54755,0.096805,0.056342
torque_delay10,h2l057w2,torque,new_eval,Walk,locomote,8451,84.51,4.046382,0,0.0,0.958441,0.956389,0.554688,0.0,0.0,0.63965,1.0,-0.031471,-0.014552,-0.016763,0.009064,4.913733,1.524093,25.040857,0.067059,0.03262
torque_delay10,h2l057w2,torque,new_eval,WalkFast,locomote,1606,16.06,3.75253,2,0.124533,0.888662,0.917598,0.495513,0.0,0.0,0.552332,1.0,-0.045096,-0.020413,-0.036066,0.014769,6.705245,1.674296,40.98296,0.095928,0.048274
torque_delay10,u3lywvaj,torque,new_eval,Amble,locomote,8398,83.98,4.028411,5,0.059538,0.944541,0.935246,0.582664,0.0,0.0,0.618974,0.991307,-0.021703,-0.012656,-0.009962,0.010254,5.369163,1.464423,14.224054,0.077152,0.037971
torque_delay10,u3lywvaj,torque,new_eval,AmbleGroom,groom,240,2.4,4.056753,0,0.0,0.959562,0.938692,0.598087,0.0,0.0,0.616277,0.991667,-0.023707,-0.013065,-0.01076,0.00888,5.5097,1.412654,24.528759,0.074353,0.035176
torque_delay10,u3lywvaj,torque,new_eval,FaceGroom,groom,427,4.27,3.960934,0,0.0,0.903281,0.918598,0.587092,0.0,0.0,0.586254,1.0,-0.017116,-0.010323,-0.006852,0.014152,5.844226,1.449586,13.303238,0.101354,0.052152
torque_delay10,u3lywvaj,torque,new_eval,ProneSlow,still,5263,52.63,4.089235,0,0.0,0.957173,0.957336,0.602985,0.0,0.0,0.631201,0.975679,-0.018224,-0.010457,-0.006458,0.009216,4.419137,1.412057,8.401692,0.066139,0.033899
torque_delay10,u3lywvaj,torque,new_eval,ProneSniff,still,11031,110.31,4.18711,4,0.036261,0.953235,0.95913,0.61881,0.0,0.0,0.690919,0.99728,-0.016326,-0.009881,-0.006058,0.009592,3.947765,1.369339,7.655776,0.06177,0.03154
torque_delay10,u3lywvaj,torque,new_eval,ProneStill,still,2641,26.41,3.920946,0,0.0,0.951791,0.965971,0.599467,0.0,0.0,0.637129,0.799318,-0.017434,-0.010023,-0.005275,0.00983,3.56483,1.416453,6.484055,0.062814,0.03384
torque_delay10,u3lywvaj,torque,new_eval,RearDown,rear,359,3.59,3.336155,2,0.557103,0.803798,0.815279,0.445836,0.0,0.0,0.377999,0.94429,-0.020452,-0.014472,-0.016123,0.021247,11.321496,1.805471,24.109411,0.145042,0.074161
torque_delay10,u3lywvaj,torque,new_eval,RearHigh,rear,2694,26.94,3.144398,6,0.222717,0.721446,0.856581,0.378127,0.0,0.0,0.245949,0.998886,-0.025545,-0.014858,-0.016188,0.027632,9.394983,2.000951,16.547165,0.173186,0.091499
torque_delay10,u3lywvaj,torque,new_eval,RearLow,rear,555,5.55,2.97905,0,0.0,0.783963,0.705337,0.321731,0.0,0.0,0.206281,1.0,-0.016036,-0.011337,-0.010888,0.023133,14.659148,2.125887,8.869721,0.175624,0.09474
torque_delay10,u3lywvaj,torque,new_eval,RearMid,rear,1881,18.81,3.498712,1,0.053163,0.875781,0.860506,0.430772,0.0,0.0,0.375272,1.0,-0.018415,-0.013348,-0.011856,0.016021,8.521685,1.833917,14.966688,0.109994,0.059832
torque_delay10,u3lywvaj,torque,new_eval,RearSniff,rear,29,0.29,2.206412,1,3.448276,0.431962,0.585042,0.355337,0.0,0.0,0.000299,0.931035,-0.040788,-0.020875,-0.0356,0.049636,21.502018,2.018463,18.554771,0.307345,0.169107
torque_delay10,u3lywvaj,torque,new_eval,Walk,locomote,5538,55.38,3.915596,7,0.126399,0.925054,0.916396,0.540891,0.0,0.0,0.607955,0.990249,-0.032058,-0.015618,-0.017273,0.011706,6.593566,1.568094,24.186729,0.086949,0.041698
torque_delay10,u3lywvaj,torque,new_eval,WalkFast,locomote,1200,12.0,3.636304,3,0.25,0.871905,0.877778,0.515938,0.0,0.0,0.486165,0.996667,-0.049981,-0.023065,-0.039103,0.016616,8.702161,1.62594,39.63472,0.11095,0.057419
torque_delay10,yki9qy8j,torque,new_eval,Amble,locomote,8450,84.5,4.069892,6,0.071006,0.95178,0.943471,0.609593,0.0,0.0,0.611773,0.995858,-0.019675,-0.012504,-0.010404,0.009667,4.870446,1.396994,15.227073,0.070944,0.035909
torque_delay10,yki9qy8j,torque,new_eval,AmbleGroom,groom,244,2.44,4.031473,0,0.0,0.961778,0.931551,0.609696,0.0,0.0,0.590395,0.979508,-0.019954,-0.011895,-0.009605,0.008653,5.726597,1.384813,25.222546,0.071317,0.03697
torque_delay10,yki9qy8j,torque,new_eval,FaceGroom,groom,485,4.85,4.097876,0,0.0,0.951836,0.947098,0.624101,0.0,0.0,0.625313,0.983505,-0.015624,-0.010114,-0.008238,0.010305,4.307677,1.352707,12.821713,0.068397,0.034593
torque_delay10,yki9qy8j,torque,new_eval,ProneSlow,still,5009,50.09,4.258853,1,0.019964,0.970174,0.972893,0.63513,0.0,0.0,0.712034,1.0,-0.016577,-0.009338,-0.005462,0.00808,3.41482,1.331313,8.44669,0.052784,0.027023
