condition,wandb_id,mode,dataset,level,behaviour,n_clips,episode_reward_mean,lifespan_s_mean,reward_per_step_mean,survived_mean,err_root_pos_m_mean,err_root_angular_deg_mean,err_joint_l2_mean,err_joint_vel_l2_mean,err_body_total_m_mean,err_body_end_eff_m_mean,rtps_root_pos_mean,rtps_root_quat_mean,rtps_joints_mean,rtps_joints_vel_mean,rtps_bodies_pos_mean,rtps_end_eff_mean,rtps_torso_z_range_mean,rtps_control_cost_mean,rtps_control_diff_cost_mean,rtps_energy_cost_mean,episode_reward_median,episode_reward_sd,episode_reward_sem,hazard_rate,frac_root_too_far,frac_root_too_rotated,frac_pose_error,frac_nan_termination,frac_survived
pos_noproprio_eff2,rfoe9wu2,position,old_eval,behaviour,FaceGroom,27,1865.264113,4.576296,4.013276,0.925926,0.011114,5.018163,1.4406,32.342984,0.067039,0.034837,0.93715,0.945217,0.593934,0.0,0.0,0.676354,1.003007,-0.121593,-0.009689,-0.011104,2028.466797,510.349242,98.216757,0.016186,0.037037,0.037037,0.0,0.0,0.925926
pos_noproprio_eff2,rfoe9wu2,position,old_eval,behaviour,FastWalk,37,1652.929517,4.134324,3.873485,0.72973,0.013934,5.755765,1.369988,51.917581,0.088035,0.044628,0.90275,0.939409,0.628045,0.0,0.0,0.576692,0.997784,-0.127217,-0.016742,-0.027236,1938.036743,616.29753,101.31869,0.065372,0.189189,0.081081,0.0,0.0,0.72973
pos_noproprio_eff2,rfoe9wu2,position,old_eval,behaviour,LGroom,17,1811.564643,4.741176,3.821142,0.882353,0.011454,6.807036,1.548156,33.853234,0.073982,0.039188,0.931752,0.91593,0.550776,0.0,0.0,0.571039,0.99804,-0.124022,-0.011327,-0.011047,1943.270752,354.940439,86.085701,0.024814,0.0,0.117647,0.0,0.0,0.882353
pos_noproprio_eff2,rfoe9wu2,position,old_eval,behaviour,RGroom,20,1613.369691,4.453,3.610736,0.9,0.016376,9.767579,1.600984,33.69794,0.092367,0.047396,0.863677,0.842329,0.532242,0.0,0.0,0.516157,1.00379,-0.120639,-0.01201,-0.014808,1948.851379,626.487691,140.086906,0.022457,0.05,0.05,0.0,0.0,0.9
pos_noproprio_eff2,rfoe9wu2,position,old_eval,behaviour,Rear,35,1746.121403,4.482,3.854117,0.8,0.012537,4.799853,1.564714,34.199147,0.076497,0.039674,0.924321,0.961352,0.54668,0.0,0.0,0.571954,1.00114,-0.125683,-0.01106,-0.014588,1926.926147,439.85603,74.349239,0.044623,0.142857,0.057143,0.0,0.0,0.8
pos_noproprio_eff2,rfoe9wu2,position,old_eval,behaviour,Walk,33,1893.231099,4.573939,4.083869,0.878788,0.010027,4.583971,1.323522,41.683717,0.06531,0.032857,0.943497,0.957415,0.643093,0.0,0.0,0.694172,0.996567,-0.119327,-0.013312,-0.018236,2055.194336,454.935249,79.194062,0.026501,0.090909,0.030303,0.0,0.0,0.878788
pos_noproprio_eff2,rfoe9wu2,position,old_eval,coarse,groom,64,1772.283185,4.581562,3.836446,0.90625,0.012849,6.977525,1.519289,33.167568,0.076798,0.039918,0.912756,0.905285,0.563192,0.0,0.0,0.598318,1.001932,-0.12194,-0.010849,-0.012247,1986.70874,519.608628,64.951079,0.020462,0.03125,0.0625,0.0,0.0,0.90625
pos_noproprio_eff2,rfoe9wu2,position,old_eval,coarse,locomote,70,1766.214548,4.341571,3.972666,0.8,0.012092,5.203348,1.348083,47.093045,0.077322,0.039079,0.921959,0.947898,0.635139,0.0,0.0,0.632075,0.99721,-0.123497,-0.015125,-0.022993,2013.604065,555.652965,66.413232,0.046066,0.142857,0.057143,0.0,0.0,0.8
pos_noproprio_eff2,rfoe9wu2,position,old_eval,coarse,rear,35,1746.121403,4.482,3.854117,0.8,0.012537,4.799853,1.564714,34.199147,0.076497,0.039674,0.924321,0.961352,0.54668,0.0,0.0,0.571954,1.00114,-0.125683,-0.01106,-0.014588,1926.926147,439.85603,74.349239,0.044623,0.142857,0.057143,0.0,0.0,0.8
pos_noproprio_eff2,rfoe9wu2,position,train,all,all,673,1874.064697,4.68214,3.967505,0.913819,0.011697,5.283714,1.424967,38.238341,0.070622,0.036028,0.9255,0.943658,0.602602,0.0,0.0,0.645998,1.001183,-0.123735,-0.011981,-0.015721,2017.085205,410.107069,15.808466,0.018406,0.062407,0.017831,0.004458,0.0,0.913819
pos_noproprio_eff2,rfoe9wu2,position,train,behaviour,FaceGroom,109,1926.164421,4.789633,3.995262,0.972477,0.011729,6.115119,1.428519,31.409864,0.067268,0.03459,0.925782,0.921086,0.60163,0.0,0.0,0.686001,0.997621,-0.118766,-0.00919,-0.008903,2053.573242,398.961213,38.213554,0.005746,0.027523,0.0,0.0,0.0,0.972477
pos_noproprio_eff2,rfoe9wu2,position,train,behaviour,FastWalk,152,1887.466509,4.613289,4.04647,0.881579,0.011089,4.098645,1.324757,51.935267,0.067965,0.033616,0.934134,0.971514,0.643526,0.0,0.0,0.662662,1.002487,-0.126854,-0.015845,-0.025155,2025.376099,418.662168,33.957986,0.02567,0.092105,0.019737,0.0,0.0,0.881579
pos_noproprio_eff2,rfoe9wu2,position,train,behaviour,LGroom,65,1887.516439,4.823846,3.893957,0.984615,0.011583,6.894755,1.468207,36.583573,0.072103,0.036884,0.924949,0.909387,0.581807,0.0,0.0,0.627654,1.00218,-0.129201,-0.011204,-0.011614,1993.596436,355.293663,44.068755,0.003189,0.0,0.015385,0.0,0.0,0.984615
pos_noproprio_eff2,rfoe9wu2,position,train,behaviour,RGroom,76,1752.391028,4.746579,3.646924,0.947368,0.015886,8.838357,1.636556,31.966584,0.090048,0.047589,0.868394,0.869227,0.520824,0.0,0.0,0.532965,1.002005,-0.122659,-0.010967,-0.012864,1935.831909,457.056599,52.427988,0.011088,0.013158,0.039474,0.0,0.0,0.947368
pos_noproprio_eff2,rfoe9wu2,position,train,behaviour,Rear,130,1713.334164,4.424846,3.815633,0.8,0.013872,5.159064,1.535624,31.377631,0.083276,0.043945,0.907324,0.95189,0.557417,0.0,0.0,0.548095,1.001926,-0.126118,-0.010724,-0.014176,1919.725464,483.207263,42.380081,0.045199,0.146154,0.030769,0.023077,0.0,0.8
