run_name,delay_k,efference_length,step,network_class,dataset,decode_seed,decode_version,group_version,frac_valid,condition,arm,budget,wandb_id,seed,group,n_layers,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,encoder,7,delta,False,0.0373866750930901,0.0124533124738325,100000.0,50355,20592,2784
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,encoder,7,delta,False,0.0312384074145012,0.0107314453150966,100000.0,48403,20949,2784
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,fm_plus_decoder,10,delta,False,0.7610636306548644,0.7207439411432257,1000.0,50355,20592,4449
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,fm_plus_decoder,10,delta,False,0.7653462816469102,0.7523520618300206,100.0,48403,20949,4449
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,forward_model,5,delta,False,0.7547111763028264,0.7146393670188868,1000.0,50355,20592,2325
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,forward_model,5,delta,False,0.7679891802413085,0.742386388628588,100.0,48403,20949,2325
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,input,1,delta,False,0.8597131880667919,0.8165689905655943,100.0,50355,20592,657
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,input,1,delta,False,0.8495355024982584,0.8328577131028698,100.0,48403,20949,657
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,latent_z,1,delta,False,0.0148392530296964,0.00563865537426,10000.0,50355,20592,32
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,latent_z,1,delta,False,0.0133248024863672,0.0052193864934664,10000.0,48403,20949,32
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,p_hat,1,delta,False,0.3461572295633568,0.2669092119796792,100.0,50355,20592,277
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,p_hat,1,delta,False,0.3383557936830995,0.2756036058142463,100.0,48403,20949,277
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,whole_network,17,delta,False,0.7194112795354399,0.6092405344783779,1000.0,50355,20592,7233
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,whole_network,17,delta,False,0.719386349730346,0.6613126401399054,1000.0,48403,20949,7233
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,decoder,5,proprio,False,0.6078952595257704,0.5479424547236776,1000.0,50355,20592,2124
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,decoder,5,proprio,False,0.6005064039490418,0.5813659280129891,1000.0,48403,20949,2124
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,encoder,7,proprio,False,0.0877390334930863,0.065002790223795,100000.0,50355,20592,2784
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,encoder,7,proprio,False,0.0875837105887963,0.074684665989916,100000.0,48403,20949,2784
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,fm_plus_decoder,10,proprio,False,0.7249777828836259,0.6786097094800942,1000.0,50355,20592,4449
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,fm_plus_decoder,10,proprio,False,0.7226481400955527,0.709734360190238,1000.0,48403,20949,4449
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,forward_model,5,proprio,False,0.7127053863697717,0.6646189135149434,1000.0,50355,20592,2325
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,forward_model,5,proprio,False,0.711302207036526,0.693094716227433,1000.0,48403,20949,2325
RodentForwardModel_delay10_eff10_nodetach-20260812-072521,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8362644098163559,pgfm,implicit,600000000,cgs8q5gj,42,input,1,proprio,False,0.7270550202671016,0.6570591635254495,1000.0,50355,20592,657
RodentForwardModel_delay10_eff10_nodetach-20260812-100602,10,10,600064000,RodentForwardModel,old_eval,0,1,1,0.8174638723213654,pgfm,implicit,600000000,kwk401pl,42,input,1,proprio,False,0.7095690017819398,0.6917218994843048,1000.0,48403,20949,657
