wandb_id,condition,cohort,budget,delay,seed,step,reward_mean,reward_smooth
jp5jehho,delayed_mlp,primary,1000000000,0,46,84049920,969.059814453125,968.2944048713235
jp5jehho,delayed_mlp,primary,1000000000,0,46,84787200,968.324951171875,968.3476131663602
jp5jehho,delayed_mlp,primary,1000000000,0,46,85278720,967.5621337890624,968.3445542279412
jp5jehho,delayed_mlp,primary,1000000000,0,46,86016000,968.3659057617188,968.3711260627298
jp5jehho,delayed_mlp,primary,1000000000,0,46,86507520,968.5863037109376,968.4031731100644
jp5jehho,delayed_mlp,primary,1000000000,0,46,87244800,968.6873168945312,968.413911707261
jp5jehho,delayed_mlp,primary,1000000000,0,46,87736320,968.4341430664062,968.4258674172794
jp5jehho,delayed_mlp,primary,1000000000,0,46,88227840,968.6019287109376,968.4739559397977
jp5jehho,delayed_mlp,primary,1000000000,0,46,88965120,962.392822265625,968.1304788028492
jp5jehho,delayed_mlp,primary,1000000000,0,46,89456640,964.8876953125,967.9529454848346
jp5jehho,delayed_mlp,primary,1000000000,0,46,90193920,966.1513671875,967.7839499080883
jp5jehho,delayed_mlp,primary,1000000000,0,46,90685440,966.6493530273438,967.6916934742648
jp5jehho,delayed_mlp,primary,1000000000,0,46,91422720,967.098388671875,967.6041008444394
jp5jehho,delayed_mlp,primary,1000000000,0,46,91914240,967.0076904296876,967.5104154698989
jp5jehho,delayed_mlp,primary,1000000000,0,46,92405760,968.0225219726562,967.4814955767463
jp5jehho,delayed_mlp,primary,1000000000,0,46,93143040,968.1671752929688,967.4594547047335
jp5jehho,delayed_mlp,primary,1000000000,0,46,93634560,967.9798583984376,967.410551183364
jp5jehho,delayed_mlp,primary,1000000000,0,46,94371840,967.301025390625,967.3070930032169
jp5jehho,delayed_mlp,primary,1000000000,0,46,94863360,968.36376953125,967.3093764361213
jp5jehho,delayed_mlp,primary,1000000000,0,46,95600640,967.99462890625,967.3348173253677
jp5jehho,delayed_mlp,primary,1000000000,0,46,96092160,967.9188232421876,967.3085183536305
jp5jehho,delayed_mlp,primary,1000000000,0,46,96829440,968.6385498046876,967.3115916532629
jp5jehho,delayed_mlp,primary,1000000000,0,46,97320960,968.146484375,967.2797779756434
jp5jehho,delayed_mlp,primary,1000000000,0,46,97812480,968.8819580078124,967.3061200310202
jp5jehho,delayed_mlp,primary,1000000000,0,46,98549760,968.1489868164062,967.2794763901654
jp5jehho,delayed_mlp,primary,1000000000,0,46,99041280,968.5235595703124,967.6401079963235
jp5jehho,delayed_mlp,primary,1000000000,0,46,99778560,969.1209716796876,967.8891242532169
jp5jehho,delayed_mlp,primary,1000000000,0,46,100270080,968.6624755859376,968.0368365119485
jp5jehho,delayed_mlp,primary,1000000000,0,46,101007360,969.701416015625,968.2163696289062
jp5jehho,delayed_mlp,primary,1000000000,0,46,101498880,969.295654296875,968.3456205480239
jp5jehho,delayed_mlp,primary,1000000000,0,46,102236160,969.26611328125,968.478468951057
jp5jehho,delayed_mlp,primary,1000000000,0,46,102727680,969.6331787109376,968.5732134650735
jp5jehho,delayed_mlp,primary,1000000000,0,46,103219200,970.0889892578124,968.6862613453585
jp5jehho,delayed_mlp,primary,1000000000,0,46,103956480,969.6448974609376,968.7842048196231
jp5jehho,delayed_mlp,primary,1000000000,0,46,104448000,969.6331176757812,968.92138671875
jp5jehho,delayed_mlp,primary,1000000000,0,46,105185280,969.6375732421876,968.9963163488052
jp5jehho,delayed_mlp,primary,1000000000,0,46,105676800,969.69091796875,969.096098058364
jp5jehho,delayed_mlp,primary,1000000000,0,46,106414080,969.7442626953124,969.2034768497242
jp5jehho,delayed_mlp,primary,1000000000,0,46,106905600,969.32421875,969.2438103170956
jp5jehho,delayed_mlp,primary,1000000000,0,46,107642880,969.814208984375,969.3419117647059
jp5jehho,delayed_mlp,primary,1000000000,0,46,108134400,968.9533081054688,969.3461088292739
jp5jehho,delayed_mlp,primary,1000000000,0,46,108625920,970.0341796875,969.4570025275735
jp5jehho,delayed_mlp,primary,1000000000,0,46,109363200,970.6857299804688,969.5841890222886
jp5jehho,delayed_mlp,primary,1000000000,0,46,109854720,970.568603515625,969.6693438361673
jp5jehho,delayed_mlp,primary,1000000000,0,46,110592000,970.69287109375,969.7887788660386
jp5jehho,delayed_mlp,primary,1000000000,0,46,111083520,970.1478271484376,969.8150383444394
jp5jehho,delayed_mlp,primary,1000000000,0,46,111820800,970.4514770507812,969.8830279181985
jp5jehho,delayed_mlp,primary,1000000000,0,46,112312320,970.924560546875,969.9805836397059
jp5jehho,delayed_mlp,primary,1000000000,0,46,112803840,970.7264404296876,970.0448931525735
jp5jehho,delayed_mlp,primary,1000000000,0,46,113541120,970.7662353515624,970.0847311580883
