run_name,condition,network_class,dataset,delay_k,efference_length,step,proprio_size,probe,target,test_r2,val_r2,lambda,n_train,n_test,n_features
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/action/0/task_obs/5,delta,0.037839978766400106,0.002701078050541761,1000.0,36353,14130,64
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/action/0/task_obs/6,delta,,-inf,1.0,57019,24990,32
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/action/0/task_obs/6,delta,0.011433341096254823,0.002847847403767534,1000.0,54687,23992,32
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/action/0/task_obs/6,delta,0.01664747056772886,0.007770346150405949,1000.0,49173,18907,32
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/action/0/task_obs/6,delta,0.02303874219198976,0.007818544691285512,1000.0,36353,14130,32
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/action/1/0,delta,,-inf,1.0,57019,24990,512
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/action/1/0,delta,0.6311410461954701,0.5515226327661498,100.0,54687,23992,512
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/action/1/0,delta,0.6217173925926123,0.557706095149124,100.0,49173,18907,512
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/action/1/0,delta,0.5485559308662339,0.4573705431716192,1000.0,36353,14130,512
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/action/1/1,delta,,-inf,1.0,57019,24990,512
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/action/1/1,delta,0.43664470434064506,0.3513728254963695,1000.0,54687,23992,512
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/action/1/1,delta,0.4108469353061118,0.3348932131463611,1000.0,49173,18907,512
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/action/1/1,delta,0.3944443191619099,0.2834012281324768,1000.0,36353,14130,512
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/action/1/2,delta,,-inf,1.0,57019,24990,512
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/action/1/2,delta,0.36846981212051755,0.2894753932812434,1000.0,54687,23992,512
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/action/1/2,delta,0.3260435333755548,0.2611993520239314,1000.0,49173,18907,512
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/action/1/2,delta,0.33916299812559436,0.2432265979311905,1000.0,36353,14130,512
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/action/1/3,delta,,-inf,1.0,57019,24990,512
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/action/1/3,delta,0.3378417161079994,0.25638950530442595,1000.0,54687,23992,512
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::3/action/1/3,delta,0.30184312345414566,0.23143990817026272,1000.0,49173,18907,512
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::3/action/1/3,delta,0.31658082128428555,0.21334412408889458,1000.0,36353,14130,512
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::3/action/1/4,delta,,-inf,1.0,57019,24990,76
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::3/action/1/4,delta,0.22888025248468247,0.1826244605474746,1000.0,54687,23992,76
