condition,arm,min_std,wandb_id,wandb_name,state,delay_k,git_commit,action_noise,spec_id,dataset,have_artifact,checkpoint_step,record_action_noise,walker_xml,n_clips,n_steps,episode_reward,episode_reward_std,lifespan_steps,lifespan_s,survived,reward_per_step,hazard_rate,fm_pred_mse,term_root_too_far,term_root_too_rotated,term_pose_error,term_nan_termination,joint_l2_error,root_pos_distance,body_errors_total
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.0,eval3ds-n00-6a6b8d4e,train,True,600064000,0.0,rodent_no_tail_collisions.xml,673,502,2128.328809015464,208.94512284609192,484.74294205052007,4.8474294205052,0.9806835066864784,4.390633930661024,3.9848941857328615e-05,,0.01188707280832095,0.007429420505200594,0.0,0.0,1.2590119311772474,0.006984509250737809,0.046414650714635554
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.02,eval3ds-n02-a4e0be11,new_eval,True,600064000,0.02,rodent_no_tail_collisions.xml,32,3002,9777.664121627808,3809.735349437408,2331.90625,23.3190625,0.5625,4.192991944520843,0.0001876147465190764,,0.15625,0.28125,0.0,0.0,1.338151763694098,0.0097945891361375,0.06596146430874089
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.02,eval3ds-n02-a4e0be11,old_eval,True,600064000,0.02,rodent_no_tail_collisions.xml,169,502,2092.907180334689,256.6323197830755,481.7278106508876,4.8172781065088754,0.9763313609467456,4.3445845019967875,4.913280597454922e-05,,0.023668639053254437,0.0,0.0,0.0,1.2827419876329036,0.008484570828704652,0.04954954499001272
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.02,eval3ds-n02-a4e0be11,train,True,600064000,0.02,rodent_no_tail_collisions.xml,673,502,2124.8913307359985,190.68415615204623,485.71619613670134,4.857161961367013,0.9881129271916791,4.374759062261047,2.4473288934708235e-05,,0.007429420505200594,0.004457652303120356,0.0,0.0,1.2475930126647876,0.007967507054897398,0.045894164478445104
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.05,eval3ds-n05-7c60cd50,new_eval,True,600064000,0.05,rodent_no_tail_collisions.xml,32,3002,8791.084833145142,4079.9467395375223,2187.59375,21.8759375,0.53125,4.018609411891555,0.00021427653100581403,,0.3125,0.15625,0.0,0.0,1.3269890033097427,0.013782464810170963,0.06432226481848637
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.05,eval3ds-n05-7c60cd50,old_eval,True,600064000,0.05,rodent_no_tail_collisions.xml,169,502,1686.000395599907,588.6873836896868,425.9408284023669,4.259408284023668,0.7692307692307692,3.9582972168312995,0.0005417870637919539,,0.1893491124260355,0.04142011834319527,0.0,0.0,1.359899072089397,0.017109510548019846,0.08691608505238964
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.05,eval3ds-n05-7c60cd50,train,True,600064000,0.05,rodent_no_tail_collisions.xml,673,502,1801.4569943840402,480.5246494145233,450.035661218425,4.500356612184249,0.8380386329866271,4.002920545244752,0.00035988562900744194,,0.12184249628528974,0.041604754829123326,0.0,0.0,1.3196234653397825,0.015558643387622417,0.07539265219633429
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.1,eval3ds-n10-2726ab9c,new_eval,True,600064000,0.1,rodent_no_tail_collisions.xml,32,3002,344.98020339012146,271.0096994279866,125.90625,1.2590625,0.0,2.7399767953546506,0.007942417473318442,,0.40625,0.65625,0.0,0.0,1.4002998970087592,0.03716190816456503,0.1686821498152766
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.1,eval3ds-n10-2726ab9c,old_eval,True,600064000,0.1,rodent_no_tail_collisions.xml,169,502,211.63094045424603,121.3182356404962,80.4319526627219,0.804319526627219,0.0,2.631179940908378,0.0124328698594865,,0.5680473372781065,0.46745562130177515,0.0,0.0,1.4823380624652769,0.03849369200377141,0.18684598506800443
encdec,encdec,0.1,zq5dvwvf,RodentEncDec_delay2_eff2-20260811-080832,failed,2,ef060b73,0.1,eval3ds-n10-2726ab9c,train,True,600064000,0.1,rodent_no_tail_collisions.xml,673,502,242.83175245401233,180.33776850669605,92.86478454680535,0.9286478454680536,0.005943536404160454,2.614895987096392,0.010704342538961246,,0.5616641901931649,0.4576523031203566,0.0,0.0,1.4956545387878941,0.03910259596034907,0.1875927789442023
