wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,env,delay_k,efference_length,fm_loss_weight,latent_size,kl_weight,body_target_frame,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,fm_hidden_sizes,n_envs,total_steps,episode_reward/mean,episode_reward/std,actual_step,condition
7w6wb12w,RodentForwardModel_delay10_eff10-20260622-091239,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.01,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1813.198974609375,365.2125244140625,600064000,forward_model
rtm81r90,RodentForwardModel_delay10_eff10-20260622-091236,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,0.1,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1825.1124267578125,344.713623046875,600064000,forward_model
6rp2ntz7,RodentForwardModel_delay10_eff10-20260619-033822,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Explicit forward model.,AbsoluteImitation,10,10,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1856.0142822265625,281.79296875,600064000,forward_model
5np7271t,RodentForwardModel_delay10_eff10-20260622-105219,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay10,eff10,warp",Sweeping forward model loss weight.,AbsoluteImitation,10,10,10.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1823.5238037109375,332.3967590332031,600064000,forward_model
lwf9q634,RodentForwardModel_delay12_eff12-20260619-033905,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay12,eff12,warp",Explicit forward model.,AbsoluteImitation,12,12,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1739.9691162109375,447.7511291503906,600064000,forward_model
oelpm5vy,RodentForwardModel_delay15_eff15-20260619-034343,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay15,eff15,warp",Explicit forward model.,AbsoluteImitation,15,15,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1665.438720703125,504.8869018554687,600064000,forward_model
8xa617so,RodentForwardModel_delay20_eff20-20260622-091043,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",Sweeping forward model loss weight.,AbsoluteImitation,20,20,0.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,752.1478881835938,573.0020141601562,600064000,forward_model
bge1cw3s,RodentForwardModel_delay20_eff20-20260619-034701,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay20,eff20,warp",Explicit forward model.,AbsoluteImitation,20,20,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1587.1820068359375,555.6929931640625,600064000,forward_model
7wqiu7d3,RodentForwardModel_delay25_eff25-20260619-035219,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay25,eff25,warp",Explicit forward model.,AbsoluteImitation,25,25,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1559.510498046875,553.2080078125,600064000,forward_model
g6mz0mci,RodentForwardModel_delay30_eff30-20260619-035534,nnx-ppo-rodent-delays,finished,546437641064f2c18793e24dd96a84bccd1a9088,"ForwardModel,MLP,TrainEvalSplit,delay30,eff30,warp",Explicit forward model.,AbsoluteImitation,30,30,1.0,32,0.001,reference_root,"[512, 512, 512, 512]","[512, 512, 512, 512]","[1024, 1024]","[512, 512, 512, 512]",4096,600000000,1501.1363525390625,579.9451904296875,600064000,forward_model
