wandb_id,condition,delay,seed,step,reward_mean
arnshycb,delayed_mlp,7,i42/p1234,369623040,929.421875
arnshycb,delayed_mlp,7,i42/p1234,374538240,937.50390625
arnshycb,delayed_mlp,7,i42/p1234,379207680,932.63671875
arnshycb,delayed_mlp,7,i42/p1234,384122880,934.3828125
arnshycb,delayed_mlp,7,i42/p1234,389038080,897.046875
arnshycb,delayed_mlp,7,i42/p1234,393707520,925.53515625
arnshycb,delayed_mlp,7,i42/p1234,398622720,911.234375
arnshycb,delayed_mlp,7,i42/p1234,403292160,927.984375
arnshycb,delayed_mlp,7,i42/p1234,408207360,941.2890625
arnshycb,delayed_mlp,7,i42/p1234,412876800,940.90625
arnshycb,delayed_mlp,7,i42/p1234,417792000,941.96875
arnshycb,delayed_mlp,7,i42/p1234,422461440,942.0546875
arnshycb,delayed_mlp,7,i42/p1234,427376640,941.64453125
arnshycb,delayed_mlp,7,i42/p1234,432046080,940.24609375
arnshycb,delayed_mlp,7,i42/p1234,436961280,924.375
arnshycb,delayed_mlp,7,i42/p1234,441630720,933.03125
arnshycb,delayed_mlp,7,i42/p1234,446545920,942.77734375
arnshycb,delayed_mlp,7,i42/p1234,451215360,942.71484375
arnshycb,delayed_mlp,7,i42/p1234,456130560,940.15234375
arnshycb,delayed_mlp,7,i42/p1234,460800000,940.4765625
arnshycb,delayed_mlp,7,i42/p1234,465715200,942.63671875
arnshycb,delayed_mlp,7,i42/p1234,470630400,944.20703125
arnshycb,delayed_mlp,7,i42/p1234,475299840,941.95703125
arnshycb,delayed_mlp,7,i42/p1234,480215040,944.109375
icn8rgcb,delayed_mlp,7,i43/p43,4915200,60.1171875
icn8rgcb,delayed_mlp,7,i43/p43,9830400,584.484375
icn8rgcb,delayed_mlp,7,i43/p43,14499840,688.10546875
icn8rgcb,delayed_mlp,7,i43/p43,19415040,762.28125
icn8rgcb,delayed_mlp,7,i43/p43,24084480,787.8046875
icn8rgcb,delayed_mlp,7,i43/p43,28999680,787.359375
icn8rgcb,delayed_mlp,7,i43/p43,33669120,792.16015625
icn8rgcb,delayed_mlp,7,i43/p43,38584320,802.7421875
icn8rgcb,delayed_mlp,7,i43/p43,43253760,815.66796875
icn8rgcb,delayed_mlp,7,i43/p43,48168960,730.2421875
icn8rgcb,delayed_mlp,7,i43/p43,52838400,822.921875
icn8rgcb,delayed_mlp,7,i43/p43,57753600,825.98046875
icn8rgcb,delayed_mlp,7,i43/p43,62423040,831.07421875
icn8rgcb,delayed_mlp,7,i43/p43,67338240,826.26953125
icn8rgcb,delayed_mlp,7,i43/p43,72007680,827.84375
icn8rgcb,delayed_mlp,7,i43/p43,76922880,839.8515625
icn8rgcb,delayed_mlp,7,i43/p43,81838080,853.62890625
icn8rgcb,delayed_mlp,7,i43/p43,86507520,848.84765625
icn8rgcb,delayed_mlp,7,i43/p43,91422720,844.19140625
icn8rgcb,delayed_mlp,7,i43/p43,96092160,850.53125
icn8rgcb,delayed_mlp,7,i43/p43,101007360,855.0859375
icn8rgcb,delayed_mlp,7,i43/p43,105676800,865.80859375
icn8rgcb,delayed_mlp,7,i43/p43,110592000,860.64453125
icn8rgcb,delayed_mlp,7,i43/p43,115261440,866.375
icn8rgcb,delayed_mlp,7,i43/p43,120176640,863.125
icn8rgcb,delayed_mlp,7,i43/p43,124846080,864.8203125
icn8rgcb,delayed_mlp,7,i43/p43,129761280,860.30859375
