condition,arm,budget,wandb_id,run_name,delay_k,step,probe,pathway,stage_index,stage_label,target,target_degenerate,test_r2,val_r2,lambda,n_train,n_test,n_features
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/3,actor,9.0,dec 4,proprio,False,0.5341944605820461,0.5080275667891941,100.0,50264,21175,512
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/4,actor,10.0,head (76),delta,False,0.2120214271113374,0.178374854453972,1000.0,50264,21175,76
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/4,actor,10.0,head (76),proprio,False,0.3966063451394371,0.3741901572118882,1000.0,50264,21175,76
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/5/action,actor,11.0,action (38),delta,False,0.1861874975373948,0.1625420718163427,1000.0,50264,21175,38
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/action/1/decoder/5/action,actor,11.0,action (38),proprio,False,0.3514892937357968,0.3396260480411445,1000.0,50264,21175,38
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/value/0,critic,0.0,critic in (917),delta,False,0.5358249006826363,0.504331905249694,1000.0,50264,21175,917
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/value/0,critic,0.0,critic in (917),proprio,False,0.9999997682901064,0.9999999460055748,1.0,50264,21175,917
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/value/1,critic,1.0,critic 1,delta,False,0.1784728771417613,0.1345689792231331,1000.0,50264,21175,1024
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/value/1,critic,1.0,critic 1,proprio,False,0.3304005932016836,0.3406529865432524,1000.0,50264,21175,1024
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/value/2,critic,2.0,critic 2,delta,False,0.0632541576929406,-0.0729813435400759,1000.0,50264,21175,1024
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/value/2,critic,2.0,critic 2,proprio,False,0.1495167822780997,0.0359682437220673,1000.0,50264,21175,1024
expfm,explicit,600000000,25io6a70,RodentForwardModel_delay10_eff10-20260811-174250,10,600064000,layer::3/value/3,critic,3.0,value (1),delta,False,5.0508197974141744e-05,-2.435431543701405e-05,1000.0,50264,21175,1
