condition,arm,wandb_id,wandb_name,state,delay_k,efference_length,seed,budget,trained_step,git_commit,walker_xml,body_target_frame,gpu,action_noise,eval_spec_id,dataset,have_eval,artifact_walker_xml,record_action_noise,n_clips,n_steps,episode_reward,episode_reward_std,reward_per_step,lifespan_steps,lifespan_s,survived,hazard_rate,joint_l2_error,joint_vel_l2_error,root_pos_distance,root_angular_error,body_errors_total,end_eff_error,fm_pred_mse
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.05,eval3ds-n05-7c60cd50,train,True,rodent_no_tail_collisions.xml,0.05,673,502,348.72455780006624,236.7459098361238,0.6946704338646738,144.17979197622586,1.4417979197622586,0.06537890044576522,0.648233075345501,2.0198478174584986,43.14053702146633,0.033667498460475453,20.68585761608538,0.21193320770670177,0.11159337017856483,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.05,eval3ds-n05-7c60cd50,old_eval,True,rodent_no_tail_collisions.xml,0.05,169,502,368.65816529403776,285.9529008422913,0.7343788153267684,156.9112426035503,1.569112426035503,0.10650887573964496,0.5694245418206502,2.0700266808771177,42.94947372082642,0.035529829709315376,21.48452217599165,0.22047744917373266,0.11643437522122549,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.05,eval3ds-n05-7c60cd50,new_eval,True,rodent_no_tail_collisions.xml,0.05,32,3002,433.43055391311646,332.4356577682741,0.14438059757265706,174.53125,1.7453124999999998,0.0,0.5729632945389437,1.9357453324089446,19.125813442200858,0.030914128755592025,21.87280348529338,0.20552089539169102,0.10652145177890958,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.1,eval3ds-n10-2726ab9c,train,True,rodent_no_tail_collisions.xml,0.1,673,502,112.7963889916974,70.99610507002485,0.22469400197549283,45.843982169390785,0.45843982169390785,0.004457652303120341,2.171587852072732,1.6187435259828271,53.64460580490378,0.04127864493922128,24.02321959984822,0.1844174461278312,0.09964360959475084,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.1,eval3ds-n10-2726ab9c,old_eval,True,rodent_no_tail_collisions.xml,0.1,169,502,109.62982044558554,66.53084873119752,0.21838609650515048,45.171597633136095,0.45171597633136096,0.0,2.213780455855384,1.6161046192966049,53.93435496476887,0.04100030771255689,23.967788793795634,0.1897254363306125,0.10167901877430773,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.1,eval3ds-n10-2726ab9c,new_eval,True,rodent_no_tail_collisions.xml,0.1,32,3002,129.14842522144318,48.59615624305402,0.043020794544118314,53.1875,0.531875,0.0,1.8801410105757932,1.5460646883219047,26.984278073862498,0.040831035328296746,24.435449361188326,0.17009215654396892,0.09183221454742685,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.25,eval3ds-n25-da25f356,train,True,rodent_no_tail_collisions.xml,0.25,673,502,36.61548875380767,16.789268926543695,0.07293922062511488,16.88855869242199,0.1688855869242199,0.0,5.92116839697343,1.5989312429246676,77.21776995498927,0.05371064994560446,27.93640772324523,0.16272112153475193,0.0912728508735196,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.25,eval3ds-n25-da25f356,old_eval,True,rodent_no_tail_collisions.xml,0.25,169,502,35.99728438134729,15.115487573890785,0.07170773781144879,16.2603550295858,0.16260355029585802,0.0,6.149927219796214,1.5797632843543146,78.76468280928852,0.05253784585536295,27.02991217923762,0.1629988352369773,0.09080901879999552,
encdec,encdec,ekl3fbju,RodentEncDec_delay90_eff90-20260811-094225,failed,90,90,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA H200,0.25,eval3ds-n25-da25f356,new_eval,True,rodent_no_tail_collisions.xml,0.25,32,3002,43.64790505170822,17.651675397225517,0.014539608611495078,21.5,0.21500000000000002,0.0,4.651162790697674,1.6388037442139258,46.56447807939913,0.052882850266832995,28.618421725232626,0.16029566943090395,0.09000964931501976,
encdec,encdec,g1eehkgv,RodentEncDec_delay40_eff40-20260811-084704,failed,40,40,42,600000000,600064000.0,ef060b73,rodent_no_tail_collisions.xml,reference_root,NVIDIA A100-SXM4-80GB,0.0,eval3ds-n00-6a6b8d4e,train,True,rodent_no_tail_collisions.xml,0.0,673,502,1020.7550695796247,570.8530528357452,2.0333766326287344,319.35809806835067,3.193580980683507,0.4413075780089153,0.17494230626070123,2.138837192058378,38.95626689127735,0.025561624264629792,10.796220722313842,0.1757926518788063,0.08440622714740587,
