wandb_id,wandb_name,wandb_project,state,git_commit,tags,notes,created_at,condition,xml,walker_xml,network,control_mode,body_target_frame,delay_k,efference_length,fm_loss_weight,detach_prediction,min_std,env,seed,latent_size,kl_weight,clip_length,ctrl_dt,solver,njmax,naconmax,mujoco_impl,n_envs,total_steps,actual_step,gpu,host,reward_mean,reward_std,lifespan_mean,train_sps_median,eval_sps_median,runtime_s,inline_eval_old_eval_reward,inline_eval_new_eval_reward,inline_eval_new_eval_survived
ukzi7fjb,RodentEncDec_delay0_eff0-20260611-103104,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay0,eff0,warp",Train-eval split,2026-06-11T14:31:29Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,0,0,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12404.rc.fas.harvard.edu,2006.21875,135.2272186279297,446.3984375,58634.36051346372,51255.473948144616,12456.464147622,,,
68b8d25g,RodentEncDec_delay1_eff1-20260611-103118,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay1,eff1,warp",Train-eval split,2026-06-11T14:31:29Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,1,1,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12504.rc.fas.harvard.edu,1984.201904296875,163.73997497558594,445.052734375,58510.84848793448,50667.38096229288,12491.740917973,,,
n9982rin,RodentEncDec_delay2_eff2-20260611-103514,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay2,eff2,warp",Train-eval split,2026-06-11T14:35:15Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,2,2,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12404.rc.fas.harvard.edu,1968.72412109375,195.2876739501953,443.71875,58489.55439643466,50414.23722187609,12376.04989358,,,
jir5btpe,RodentEncDec_delay3_eff3-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay3,eff3,warp",Train-eval split,2026-06-11T16:06:55Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,3,3,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12304.rc.fas.harvard.edu,1961.134765625,201.85113525390625,443.0625,58090.211901953306,49804.83264244692,12473.161710863,,,
nvyg0bhj,RodentEncDec_delay4_eff4-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay4,eff4,warp",Train-eval split,2026-06-11T16:06:55Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,4,4,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12301.rc.fas.harvard.edu,1941.1436767578125,189.53216552734375,443.1787109375,57677.499526676445,49388.390062136474,12616.413009169,,,
8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",Train-eval split,2026-06-11T16:06:55Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,5,5,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12501.rc.fas.harvard.edu,1905.016357421875,272.0177917480469,436.7861328125,57604.774121066555,49119.69577828635,12553.398422017,,,
mgk9ejcb,RodentEncDec_delay6_eff6-20260611-120818,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay6,eff6,warp",Train-eval split,2026-06-11T16:08:20Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,6,6,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12403.rc.fas.harvard.edu,1896.0284423828125,259.7897644042969,437.6357421875,56881.83179051257,49156.26772189757,13992.646937971,,,
a6929dxz,RodentEncDec_delay7_eff7-20260611-120818,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay7,eff7,warp",Train-eval split,2026-06-11T16:08:20Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,7,7,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12403.rc.fas.harvard.edu,1897.8070068359375,259.460205078125,439.384765625,56831.692875395966,48696.413719082426,14079.218685041,,,
5d5tvuuv,RodentEncDec_delay8_eff8-20260611-120725,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay8,eff8,warp",Train-eval split,2026-06-11T16:07:26Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,8,8,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12502.rc.fas.harvard.edu,1865.0511474609375,290.9252014160156,435.0087890625,57090.720816990506,48665.052594539025,12661.085491659,,,
u9j3se06,RodentEncDec_delay9_eff9-20260611-120839,emiwar-team/nnx-ppo-rodent-delays,finished,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay9,eff9,warp",Train-eval split,2026-06-11T16:08:40Z,encdec_old_current,old,rodent.xml,efference,torque,current_root,9,9,,,0.1,AbsoluteImitation,42,32,0.001,250,0.01,newton,256,131072,warp,4096,600000000,600064000.0,NVIDIA H200,holygpu8a12304.rc.fas.harvard.edu,1833.096435546875,331.099853515625,430.830078125,56919.56266782367,48352.98507361559,12647.500173614,,,
