wandb_id,condition,task,delay,seed,step,reward_mean
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,88965120,717.7259521484375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,89456640,745.9208374023438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,90193920,746.0547485351562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,90685440,749.8270263671875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,91422720,756.3470458984375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,91914240,752.5687866210938
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,92405760,757.3340454101562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,93143040,775.475830078125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,93634560,797.218505859375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,94371840,817.0496826171875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,94863360,820.116943359375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,95600640,821.593505859375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,96092160,818.4439697265625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,96829440,810.1873779296875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,97320960,800.28369140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,97812480,793.7785034179688
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,98549760,790.50341796875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,99041280,794.8988037109375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,99778560,794.0408325195312
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,100270080,802.694091796875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,101007360,816.2362060546875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,101498880,817.0070190429688
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,102236160,814.643798828125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,102727680,820.1319580078125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,103219200,821.3687744140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,103956480,828.218505859375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,104448000,828.4664306640625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,105185280,827.5816650390625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,105676800,824.8736572265625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,106414080,822.017822265625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,106905600,820.89990234375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,107642880,813.1338500976562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,108134400,808.43994140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,108625920,804.5386962890625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,109363200,799.5657958984375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,109854720,797.80712890625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,110592000,785.5369873046875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,111083520,785.0953979492188
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,111820800,785.005126953125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,112312320,785.41845703125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,112803840,788.301513671875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,113541120,778.6546630859375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,114032640,781.11328125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,114769920,780.931884765625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,115261440,786.6577758789062
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,115998720,787.1680908203125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,116490240,778.6546630859375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,117227520,786.2828369140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,117719040,783.313720703125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,118210560,779.6328735351562
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,118947840,777.6510009765625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,119439360,774.5771484375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,120176640,779.3761596679688
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,120668160,772.3290405273438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,121405440,765.991455078125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,121896960,763.156494140625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,122634240,765.1080932617188
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,123125760,776.4525146484375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,123617280,769.04638671875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,124354560,771.74365234375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,124846080,783.8214111328125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,125583360,778.5064697265625
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,126074880,787.1856689453125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,126812160,795.2454833984375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,127303680,784.8927001953125
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,128040960,734.302734375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,128532480,702.77099609375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,129024000,350.3861083984375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,129761280,288.640380859375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,130252800,287.0001525878906
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,130990080,338.5437927246094
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,131481600,312.4331359863281
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,132218880,553.0311889648438
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,132710400,724.57177734375
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,133201920,746.412841796875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,133939200,727.7703857421875
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,134430720,726.8811645507812
9qjvdolt,delayed_mlp,CartpoleSwingup,0,42,135168000,737.0062866210938
