wandb_id,wandb_name,wandb_project,git_commit,tags,condition,control_mode,network,delay_k,efference_length,torque_actuators,fm_loss_weight,detach_prediction,body_target_frame,seed,latent_size,kl_weight,enc_hidden_sizes,dec_hidden_sizes,critic_hidden_sizes,clip_length,actual_step,reward_mean,reward_std,lifespan_mean,fm_pred_mse
8ygr9sf4,RodentEncDec_delay5_eff5-20260611-120639,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay5,eff5,warp",torque_efference,torque,efference,5,5,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1905.016357421875,272.0177917480469,436.7861328125,
mgk9ejcb,RodentEncDec_delay6_eff6-20260611-120818,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay6,eff6,warp",torque_efference,torque,efference,6,6,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1896.0284423828125,259.7897644042969,437.6357421875,
a6929dxz,RodentEncDec_delay7_eff7-20260611-120818,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay7,eff7,warp",torque_efference,torque,efference,7,7,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1897.8070068359375,259.460205078125,439.384765625,
5d5tvuuv,RodentEncDec_delay8_eff8-20260611-120725,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay8,eff8,warp",torque_efference,torque,efference,8,8,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1865.0511474609375,290.9252014160156,435.0087890625,
u9j3se06,RodentEncDec_delay9_eff9-20260611-120839,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay9,eff9,warp",torque_efference,torque,efference,9,9,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1833.096435546875,331.099853515625,430.830078125,
k0i287kl,RodentEncDec_delay10_eff10-20260611-120848,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay10,eff10,warp",torque_efference,torque,efference,10,10,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1789.60986328125,376.0146789550781,423.0419921875,
xj1agjno,RodentEncDec_delay15_eff15-20260611-120902,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay15,eff15,warp",torque_efference,torque,efference,15,15,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1592.833984375,512.7891235351562,389.765625,
gunf0ivv,RodentEncDec_delay20_eff20-20260611-120904,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay20,eff20,warp",torque_efference,torque,efference,20,20,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1435.531005859375,590.2176513671875,363.3037109375,
w2498exh,RodentEncDec_delay30_eff30-20260611-120904,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay30,eff30,warp",torque_efference,torque,efference,30,30,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1327.683349609375,564.8617553710938,351.955078125,
rv3u3x7n,RodentEncDec_delay40_eff40-20260611-120905,emiwar-team/nnx-ppo-rodent-delays,1cd5838f,"EncDec,MLP,TrainEvalSplit,delay40,eff40,warp",torque_efference,torque,efference,40,40,True,,,current_root,42,32,0.001,"(512, 512, 512, 512)","(512, 512, 512, 512)","(1024, 1024)",250,600064000,1232.233642578125,572.444580078125,337.2822265625,
